,Slice,Ground Truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
10010,1,outside_VISp,2,4,2,11,1,0,3,5,4,1
10012,1,outside_VISp,1,0,2,3,3,0,0,5,4,3
10015,1,outside_VISp,2,1,3,4,5,0,2,5,4,2
10019,1,outside_VISp,1,0,2,4,3,0,0,5,4,2
10020,1,outside_VISp,2,3,2,2,3,4,5,4,4,3
10021,1,outside_VISp,2,0,3,3,3,0,0,5,4,5
10022,1,outside_VISp,2,1,3,4,5,0,2,5,4,2
10023,1,outside_VISp,2,0,2,3,3,0,0,3,4,3
10024,1,outside_VISp,2,1,2,6,5,0,2,4,4,2
10025,1,outside_VISp,2,3,2,2,3,0,5,3,4,3
10026,1,outside_VISp,2,0,3,3,3,0,0,5,4,5
10028,1,outside_VISp,5,1,3,8,5,3,2,5,4,2
10029,1,outside_VISp,2,0,2,2,3,0,0,6,4,3
10030,1,outside_VISp,2,4,2,11,1,0,3,3,4,1
10031,1,outside_VISp,2,5,2,5,5,4,4,4,4,0
10032,1,outside_VISp,5,1,3,6,5,3,2,5,4,2
10033,1,outside_VISp,2,5,2,5,5,0,4,3,4,0
10034,1,outside_VISp,2,2,2,0,3,0,1,3,4,5
10035,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
10036,1,outside_VISp,5,1,3,4,5,3,2,5,4,2
10039,1,outside_VISp,2,0,3,1,3,3,0,5,4,5
10040,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
10041,1,outside_VISp,2,2,2,3,3,0,1,3,4,5
10042,1,outside_VISp,5,4,3,7,1,3,3,5,4,4
10043,1,outside_VISp,5,1,3,4,5,3,2,5,4,2
10044,1,outside_VISp,2,4,2,11,1,0,3,3,4,1
10045,1,outside_VISp,2,4,2,7,1,0,3,3,4,4
10046,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
10047,1,outside_VISp,2,4,2,11,1,0,3,3,4,1
10048,1,outside_VISp,5,1,3,4,5,3,2,5,4,2
10049,1,outside_VISp,2,3,3,10,3,3,5,5,4,3
10050,1,outside_VISp,2,1,2,4,3,0,2,3,4,2
10051,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10052,1,outside_VISp,2,4,3,11,1,0,3,3,4,1
10054,1,outside_VISp,2,0,2,3,3,0,0,3,4,5
10055,1,outside_VISp,2,1,2,6,5,0,2,3,4,2
10056,1,outside_VISp,2,0,3,3,3,3,1,3,4,5
10057,1,outside_VISp,2,3,3,10,3,3,5,3,4,3
10058,1,outside_VISp,2,0,3,3,3,0,5,3,4,3
10059,1,outside_VISp,2,2,3,1,3,3,2,3,4,5
10060,1,outside_VISp,2,4,3,7,1,0,3,3,4,4
10061,1,outside_VISp,2,4,3,11,1,3,3,3,4,1
10062,1,outside_VISp,2,3,3,10,3,3,5,3,4,3
10063,1,outside_VISp,2,4,3,11,1,0,3,3,4,1
10065,1,outside_VISp,2,1,3,6,5,0,2,3,4,2
10066,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10067,1,outside_VISp,2,4,3,11,1,0,3,3,4,1
10069,1,outside_VISp,2,3,3,2,3,3,2,3,4,3
10070,1,outside_VISp,2,1,3,6,5,3,2,3,4,2
10071,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10073,1,outside_VISp,2,1,3,8,5,3,2,3,4,2
10074,1,outside_VISp,2,0,3,3,3,3,1,3,4,5
10075,1,outside_VISp,2,1,3,4,5,3,2,3,4,2
10076,1,outside_VISp,2,0,3,3,3,0,0,5,4,5
10077,1,outside_VISp,2,0,3,3,3,0,0,3,4,5
10078,1,outside_VISp,5,3,3,9,3,3,5,3,4,3
10079,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10080,1,outside_VISp,2,3,3,10,3,0,5,3,4,3
10081,1,outside_VISp,2,0,3,3,3,0,3,3,4,5
10082,1,outside_VISp,2,3,3,10,3,3,5,3,4,3
10083,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10084,1,outside_VISp,2,0,3,3,3,0,0,3,4,3
10085,1,outside_VISp,2,3,3,10,3,0,5,3,4,3
10086,1,outside_VISp,2,4,3,11,1,3,3,3,4,1
10088,1,outside_VISp,2,4,3,11,1,0,3,3,4,1
10091,1,outside_VISp,2,4,3,7,1,0,3,3,4,4
10092,1,outside_VISp,2,0,3,3,3,0,3,3,4,5
10093,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10094,1,outside_VISp,2,5,3,5,5,3,4,3,4,0
10095,1,outside_VISp,5,3,3,10,3,3,5,3,4,3
10096,1,outside_VISp,2,4,3,7,1,3,3,3,4,1
10097,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10099,1,outside_VISp,2,1,3,4,3,3,2,3,4,2
10100,1,outside_VISp,2,0,3,3,3,0,0,3,4,5
10101,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10102,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10103,1,outside_VISp,2,4,3,11,1,3,3,3,4,1
10104,1,outside_VISp,2,2,3,0,3,0,1,5,4,5
10105,1,outside_VISp,2,1,3,4,5,3,2,3,4,2
10106,1,outside_VISp,2,4,3,11,1,3,3,3,4,1
10107,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10108,1,outside_VISp,2,1,3,8,5,3,2,3,4,2
10109,1,outside_VISp,2,4,3,11,1,3,3,3,4,1
10110,1,outside_VISp,2,1,3,6,5,3,2,3,4,2
10112,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10114,1,outside_VISp,2,3,3,9,3,3,3,3,4,3
10116,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10117,1,outside_VISp,2,4,3,11,1,3,3,3,4,1
10118,1,outside_VISp,1,5,3,5,3,0,4,6,4,0
10119,1,outside_VISp,2,3,3,10,3,3,3,3,4,3
10120,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10121,1,outside_VISp,2,4,3,7,1,3,3,3,4,4
10122,1,outside_VISp,2,2,3,0,3,3,5,3,4,5
10123,1,outside_VISp,2,3,3,0,3,3,5,3,4,3
10124,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10125,1,outside_VISp,2,2,3,0,3,3,1,3,4,5
10126,1,outside_VISp,2,3,3,9,3,3,5,3,4,3
10128,1,outside_VISp,2,0,3,3,3,3,5,3,4,5
10129,1,outside_VISp,1,0,3,3,3,0,1,4,4,5
10130,1,outside_VISp,2,0,3,1,3,3,0,3,4,5
10131,1,outside_VISp,2,3,3,10,3,3,5,3,4,3
