,ground_truth,ground_truth,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
1314x2162,MPA,MPA,7,10,0,21,4,4,9,4,3,0
1322x2289,MPA,MPA,4,3,0,0,4,1,4,3,3,0
1334x2116,MPA,MPA,7,3,5,0,4,4,4,4,3,0
1340x2200,MPA,MPA,7,3,0,0,4,4,4,4,3,0
1341x2251,MPA,MPA,4,5,0,3,4,4,5,4,3,5
1343x2208,MPA,MPA,7,5,0,3,4,4,5,4,3,5
1345x2177,MPA,MPA,7,5,0,3,4,4,5,4,3,5
1353x2119,MPA,MPA,7,5,5,16,4,4,5,4,3,5
1352x2218,MPA,MPA,4,5,0,3,4,4,5,4,3,5
1356x2125,MPA,MPA,4,5,5,16,7,4,5,4,3,5
1360x2220,MPA,MPA,4,5,0,16,4,4,5,4,3,6
1362x2238,MPA,MPA,4,3,0,0,4,4,4,4,3,0
1365x2290,MPA,MPA,7,3,0,0,4,1,4,4,3,0
1365x2274,MPA,MPA,7,3,0,16,4,4,5,4,3,0
1372x2131,MPA,MPA,4,5,5,16,4,4,5,4,3,5
1373x2216,MPA,MPA,4,1,0,13,4,4,2,4,3,6
1379x2250,MPA,MPA,4,5,0,21,4,4,5,4,3,5
1383x2224,MPA,MPA,4,5,0,3,4,4,5,4,3,5
1385x2138,MPA,MPA,7,7,5,16,4,4,4,4,3,0
1400x2232,MPA,MPA,4,1,0,12,4,4,2,4,3,6
1407x2146,MPA,MPA,7,3,5,0,4,4,4,4,3,0
1418x2148,MPA,MPA,7,5,5,16,4,4,4,4,3,4
1419x2241,MPA,MPA,8,8,7,10,6,4,7,4,3,2
1441x2239,MPA,MPA,8,8,7,10,6,4,7,4,3,2
1441x2192,MPA,MPA,7,3,7,0,4,4,4,4,3,0
1460x2274,MPA,MPA,1,0,2,14,4,4,0,4,3,1
1489x2274,MPA,MPA,4,2,0,19,4,4,3,3,3,6
1392x2192,MPA,MPA,4,2,0,19,4,4,3,4,3,7
1403x2262,MPA,MPA,4,1,7,12,4,4,2,4,3,6
1473x2163,MPA,MPA,7,3,5,0,4,4,4,4,3,0
1475x2238,MPA,MPA,4,5,0,16,7,4,5,4,3,5
1484x2296,MPA,MPA,7,1,0,13,4,1,2,3,3,6
1314x2145,MPA,MPA,7,9,0,17,4,4,4,4,3,0
1324x2260,MPA,MPA,4,1,0,12,4,4,2,4,3,6
1324x2191,MPA,MPA,7,3,0,0,4,4,4,4,3,0
1325x2184,MPA,MPA,7,3,0,0,4,4,4,4,3,0
1403x2206,MPA,MPA,7,9,0,17,4,4,8,4,3,0
1441x2220,MPA,MPA,8,8,7,10,6,4,7,4,3,2
1483x2234,MPA,MPA,4,5,0,16,7,4,5,4,3,5
1340x2114,MPA,MPA,7,3,5,0,4,4,4,4,3,0
1396x2282,MPA,MPA,7,3,0,0,4,4,4,4,3,0
1398x2142,MPA,MPA,7,7,5,6,7,4,4,4,3,0
1319x2156,MPA,MPA,7,5,0,16,4,4,5,4,3,5
1325x2138,MPA,MPA,7,3,0,0,4,4,4,4,3,0
1359x2128,MPA,MPA,4,5,5,16,7,4,5,4,3,5
1427x2162,MPA,MPA,7,3,5,0,4,4,4,4,3,0
1484x2175,MPA,MPA,7,5,5,16,4,4,4,4,3,0
1491x2183,MPA,MPA,7,3,5,0,4,4,4,4,3,4
1497x2286,MPA,MPA,4,9,0,17,4,1,8,3,3,0
1315x2346,MPA,MPA,4,2,0,14,4,1,3,3,3,6
1329x2444,MPA,MPA,4,1,0,15,4,1,2,3,3,6
1333x2423,MPA,MPA,4,5,0,3,4,4,5,3,3,5
1342x2428,MPA,MPA,4,2,0,4,4,1,3,3,3,1
1355x2315,MPA,MPA,2,2,0,14,4,1,3,3,3,6
1359x2452,MPA,MPA,4,1,0,15,4,1,2,3,3,6
1360x2470,MPA,MPA,4,3,0,0,4,1,4,3,3,0
1370x2481,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1381x2432,MPA,MPA,7,3,0,0,4,1,5,3,3,0
1386x2490,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1391x2360,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1389x2431,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1398x2461,MPA,MPA,7,1,0,12,4,1,2,3,3,6
1405x2397,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1406x2450,MPA,MPA,7,0,0,14,4,1,2,3,3,6
1407x2327,MPA,MPA,7,1,0,12,4,1,2,3,3,6
1408x2480,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1418x2405,MPA,MPA,4,2,0,1,4,1,3,3,3,3
1416x2488,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1423x2453,MPA,MPA,7,8,0,10,4,1,7,3,3,2
1422x2495,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1433x2328,MPA,MPA,7,2,0,1,4,1,4,3,3,6
1432x2414,MPA,MPA,4,3,0,0,4,1,4,3,3,0
1440x2353,MPA,MPA,7,9,0,17,4,1,8,3,3,0
1441x2427,MPA,MPA,4,5,0,16,4,1,5,3,3,5
1448x2404,MPA,MPA,4,2,0,0,4,1,9,3,3,0
1448x2416,MPA,MPA,4,2,0,5,5,1,9,3,3,6
1456x2432,MPA,MPA,4,2,0,19,4,1,3,3,3,6
1459x2422,MPA,MPA,4,9,0,17,4,1,8,3,3,0
1462x2361,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1463x2334,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1468x2377,MPA,MPA,4,2,0,14,5,1,3,3,3,6
1475x2402,MPA,MPA,4,1,0,13,5,1,2,3,3,6
1477x2459,MPA,MPA,4,1,0,12,5,1,2,3,3,6
1477x2321,MPA,MPA,7,0,0,14,4,1,0,3,3,6
1486x2451,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1497x2425,MPA,MPA,4,8,0,10,6,1,7,3,3,2
1337x2399,MPA,MPA,4,0,0,2,4,1,0,3,3,1
1342x2336,MPA,MPA,2,2,0,14,4,1,3,3,3,6
1343x2376,MPA,MPA,4,2,0,14,4,1,3,3,3,6
1381x2387,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1435x2361,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1436x2481,MPA,MPA,4,1,0,15,4,1,4,3,3,6
1489x2334,MPA,MPA,4,2,0,14,5,1,3,3,3,3
1318x2419,MPA,MPA,7,3,2,0,4,4,4,3,3,0
1324x2353,MPA,MPA,4,1,0,12,4,1,3,3,3,6
1328x2369,MPA,MPA,4,3,0,0,4,1,4,3,3,0
1360x2392,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1359x2432,MPA,MPA,3,0,0,2,4,1,3,3,3,3
1365x2332,MPA,MPA,8,8,0,10,6,1,7,3,3,2
1421x2326,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1439x2407,MPA,MPA,4,10,0,21,4,1,9,3,3,0
1455x2459,MPA,MPA,4,2,0,19,4,1,0,3,3,6
1385x2408,MPA,MPA,7,8,0,10,6,1,7,3,3,2
1439x2491,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1487x2437,MPA,MPA,7,1,0,12,4,1,2,3,3,6
1358x2368,MPA,MPA,4,2,0,14,4,1,3,3,3,6
1402x2378,MPA,MPA,7,1,0,12,4,1,1,3,3,6
1411x2424,MPA,MPA,4,2,0,19,4,1,3,3,3,6
1444x2385,MPA,MPA,4,1,3,15,5,1,2,3,3,6
1483x2479,MPA,MPA,4,0,0,2,5,1,0,3,3,1
1489x2379,MPA,MPA,4,2,0,19,5,1,3,3,3,6
1322x2620,MPA,MPA,8,8,0,10,6,1,7,3,3,2
1322x2649,MPA,MPA,7,1,0,12,4,1,2,3,3,6
1334x2634,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1337x2573,MPA,MPA,4,1,0,12,4,1,3,3,3,6
1341x2631,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1340x2663,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1345x2607,MPA,MPA,7,5,0,3,4,1,5,3,3,5
1355x2663,MPA,MPA,7,2,0,1,4,1,3,3,3,3
1354x2579,MPA,MPA,4,2,0,1,4,1,3,3,3,6
1363x2690,MPA,MPA,3,2,0,14,4,1,3,3,3,3
1363x2620,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1368x2544,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1369x2558,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1376x2544,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1383x2695,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1391x2678,MPA,MPA,3,1,0,7,5,1,2,3,3,3
1397x2534,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1398x2690,MPA,MPA,3,2,0,14,5,1,3,3,3,6
1404x2610,MPA,MPA,3,1,8,13,5,1,2,3,3,6
1418x2548,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1420x2674,MPA,MPA,3,2,0,5,5,1,3,3,3,6
1426x2648,MPA,MPA,3,4,0,1,5,1,3,3,3,3
1425x2585,MPA,MPA,3,1,0,12,4,1,2,3,3,6
1434x2568,MPA,MPA,4,9,0,17,4,1,4,3,3,0
1438x2618,MPA,MPA,4,5,0,3,5,1,5,3,3,5
1441x2680,MPA,MPA,7,1,0,13,5,1,2,3,3,6
1446x2564,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1447x2657,MPA,MPA,3,2,0,1,5,1,3,3,3,7
1460x2646,MPA,MPA,3,1,0,13,5,1,2,3,3,6
1467x2693,MPA,MPA,3,1,0,13,5,1,2,3,3,3
1468x2550,MPA,MPA,7,5,0,3,4,1,5,3,3,5
1469x2671,MPA,MPA,3,2,0,14,5,1,3,3,3,3
1476x2661,MPA,MPA,3,6,0,11,5,1,3,3,3,3
1480x2568,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1484x2600,MPA,MPA,3,9,0,17,5,1,8,3,3,0
1492x2552,MPA,MPA,4,1,0,12,5,1,2,3,3,6
1494x2679,MPN,MPN,3,1,1,7,5,1,2,3,1,6
1404x2599,MPA,MPA,3,2,0,1,5,1,3,3,3,3
1425x2639,MPA,MPA,3,1,0,13,5,1,3,3,3,6
1430x2540,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1449x2674,MPA,MPA,7,8,0,10,6,1,7,3,3,2
1457x2583,MPA,MPA,3,2,0,1,4,1,3,3,3,3
1313x2693,MPA,MPA,7,2,7,14,4,1,3,3,3,6
1361x2581,MPA,MPA,4,3,0,0,4,1,3,3,3,0
1459x2692,MPA,MPA,7,3,0,0,5,1,4,3,3,0
1322x2535,MPA,MPA,4,1,0,15,4,1,2,3,3,6
1372x2609,MPA,MPA,3,2,0,14,4,1,3,3,3,3
1457x2519,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1490x2590,MPA,MPA,4,2,0,1,5,1,3,3,3,3
1337x2550,MPA,MPA,4,1,0,12,4,1,2,3,3,6
1369x2585,MPA,MPA,3,2,0,19,4,1,3,3,3,6
1370x2518,MPA,MPA,4,1,0,15,4,1,2,3,3,6
1374x2538,MPA,MPA,4,3,0,16,4,1,5,3,3,0
1375x2633,MPA,MPA,7,2,0,1,4,1,3,3,3,3
1453x2632,MPA,MPA,4,1,0,13,5,1,2,3,3,6
1335x2530,MPA,MPA,4,1,0,15,4,1,2,3,3,6
1319x2808,MPA,MPA,8,8,7,10,6,1,7,3,3,2
1328x2857,MPA,MPA,4,2,0,13,4,1,3,3,3,6
1331x2747,MPA,MPA,8,8,0,10,6,1,7,3,3,2
1331x2876,MPA,MPA,4,1,0,13,4,1,2,3,3,6
1333x2890,MPA,MPA,4,2,0,14,4,1,7,3,3,6
1334x2899,MPA,MPA,8,8,0,10,6,1,7,3,3,2
1339x2771,MPA,MPA,4,2,0,1,4,1,3,3,3,3
1345x2832,MPA,MPA,4,1,0,15,4,1,2,3,3,6
1351x2888,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1358x2830,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1359x2820,MPA,MPA,4,5,0,3,4,1,5,3,3,5
1356x2761,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1361x2770,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1358x2787,MPA,MPA,3,2,0,1,4,1,3,3,3,3
1359x2719,MPA,MPA,4,10,7,21,4,1,9,3,3,3
1363x2729,MPA,MPA,4,1,7,15,4,1,2,3,3,6
1368x2803,MPA,MPA,8,8,0,10,4,1,7,3,3,2
1372x2792,MPA,MPA,8,9,0,17,4,1,7,3,3,0
1372x2886,MPA,MPA,7,3,0,0,4,1,4,3,3,0
1387x2832,MPA,MPA,4,1,0,13,4,1,2,3,3,6
1404x2761,MPA,MPA,3,2,0,1,4,1,3,3,3,3
1403x2800,MPA,MPA,7,5,0,16,4,1,4,3,3,0
1417x2897,MPA,MPA,3,1,7,15,2,1,2,2,3,6
1420x2809,MPA,MPA,3,0,0,4,4,1,0,3,3,3
1424x2830,MPA,MPA,3,4,0,5,4,1,1,2,3,3
1426x2857,MPA,MPA,4,5,0,3,2,1,5,3,3,5
1429x2740,MPA,MPA,4,8,0,10,6,1,7,3,3,2
1432x2775,MPA,MPA,3,2,0,1,5,1,3,3,3,3
1449x2768,MPA,MPA,3,2,0,5,5,1,3,3,3,1
1447x2805,MPA,MPA,3,1,1,12,4,1,2,2,3,6
1459x2862,MPA,MPA,3,4,0,5,2,2,1,3,1,3
1459x2897,MPA,MPA,8,8,7,10,6,2,7,3,1,2
1470x2893,MPA,MPA,7,1,7,7,2,2,2,2,1,3
1473x2737,MPA,MPA,3,5,0,16,5,1,3,3,3,6
1473x2778,MPA,MPA,3,3,0,19,5,1,3,2,1,0
