,slice_id,ct,Graphst,Leiden,MENDER,SCANPY,SEDR,SpaceFlow,SpaGCN,STAGATE,stGCL,stLearn
44x5377-1,BZ9,VIP,1,3,3,3,1,5,2,1,1,0
68x4194-1,BZ9,Smc,1,3,3,3,1,5,4,1,1,3
84x5959-1,BZ9,Smc,1,4,3,3,1,5,2,1,1,3
80x5764-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
114x1974-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
168x531-1,BZ9,Reln,1,7,0,7,1,5,3,1,1,0
185x4559-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
177x3654-1,BZ9,Reln,1,7,3,7,1,5,3,3,1,0
241x2001-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
270x3116-1,BZ9,Reln,1,7,3,7,1,5,3,1,1,0
309x5302-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
275x628-1,BZ9,NPY,1,4,0,6,1,5,3,1,1,3
294x5628-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
349x1994-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
377x4455-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
410x1893-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
387x3267-1,BZ9,Reln,1,3,3,3,1,5,2,1,1,0
476x669-1,BZ9,Smc,1,4,3,3,1,5,2,1,1,3
446x1536-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
485x1779-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
501x2036-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
527x937-1,BZ9,eL5-3,1,3,3,3,1,5,2,1,1,3
450x4160-1,BZ9,Reln,1,3,3,3,1,5,2,1,1,0
548x4572-1,BZ9,Reln,1,7,3,7,1,5,3,1,1,0
544x2540-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
591x3577-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
603x6364-1,BZ9,Astro,1,3,3,3,1,5,2,1,2,3
651x4418-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
663x2654-1,BZ9,Reln,1,7,3,7,1,5,3,1,1,0
665x5629-1,BZ9,Reln,1,7,3,7,1,5,3,1,1,0
852x3642-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1085x4223-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1110x6096-1,BZ9,Astro,1,3,3,3,1,5,2,1,2,3
1139x5599-1,BZ9,Astro,1,3,3,3,1,5,2,1,2,3
1120x5436-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1184x4281-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
1126x4550-1,BZ9,Smc,1,3,3,5,1,5,2,1,1,3
1151x6524-1,BZ9,Astro,1,3,3,3,1,5,2,1,2,3
1177x1565-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1187x4426-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1180x5746-1,BZ9,Astro,1,3,3,3,1,5,2,1,2,3
1180x5077-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1205x5367-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1184x3703-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
1187x3879-1,BZ9,Smc,1,6,3,3,1,5,2,1,1,3
1229x3321-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
1212x1071-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1214x1248-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1224x2691-1,BZ9,Reln,2,7,3,7,1,5,2,2,1,0
1215x2845-1,BZ9,Oligo,1,3,3,3,1,5,2,1,1,3
1221x2460-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
1252x828-1,BZ9,Endo,2,3,3,3,1,4,4,2,1,3
1261x3491-1,BZ9,Smc,1,3,3,3,1,5,2,1,1,3
1299x2992-1,BZ9,Oligo,1,3,3,3,1,5,2,1,1,3
1244x1819-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1271x2371-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1339x4144-1,BZ9,Astro,1,3,3,3,1,5,2,1,1,3
1324x1018-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1361x2480-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
1348x1921-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1644x997-1,BZ9,Endo,2,4,3,5,1,4,2,2,1,3
1778x1015-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
1807x1991-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
1787x4503-1,BZ9,Astro,1,3,3,3,1,5,2,1,2,3
1878x6520-1,BZ9,Astro,1,3,3,3,2,4,2,4,2,3
1989x1653-1,BZ9,eL5-3,2,2,3,2,1,5,2,2,1,3
1963x1937-1,BZ9,Endo,2,4,3,5,1,5,2,2,1,3
2114x1968-1,BZ9,Endo,2,4,3,5,1,5,2,2,2,3
2100x5513-1,BZ9,Lhx6,1,7,0,7,2,3,3,3,2,0
2169x1422-1,BZ9,NPY,1,3,3,3,1,5,2,1,2,0
2201x2033-1,BZ9,Endo,2,4,3,5,1,5,2,2,2,3
2196x3567-1,BZ9,Astro,1,3,2,3,2,3,2,1,2,3
2316x578-1,BZ9,Reln,1,7,3,7,1,5,3,1,2,0
